,asset,time,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
971,btc,2016-08-29T00:00:00.000000000Z,512920,1.56317394,9084774574.86462844754789345279,1618801.46201982,37.44017778,573.429267562829,15842886.10429051,230540,242647741.38274922238234480837,60.2914312214594
972,btc,2016-08-30T00:00:00.000000000Z,545062,1.56851349,9121861557.01109143589911958848,1799709.0589716,34.3982412,575.695698421976,15844936.10429048,248618,265183952.4035068126263592528,60.2916973199494
973,btc,2016-08-31T00:00:00.000000000Z,497832,1.55808288,9068583846.81071254134415437057,1470493.9872085,34.01374447,572.272758328463,15846611.10429039,226351,266615275.36425781196961321679,60.2926703392065
974,btc,2016-09-01T00:00:00.000000000Z,481213,1.55789624,9068776165.73011998348804555306,1536337.00156112,35.58980697,572.221702045587,15848361.10429038,233329,254813862.13715854045926250179,60.2884517679931
975,btc,2016-09-02T00:00:00.000000000Z,490560,1.57001279,9143179090.84213234340131796832,1678996.8659918,41.39711023,576.846767387493,15850273.60429024,228902,220865153.1710465870153771544,60.2899737742213
976,btc,2016-09-03T00:00:00.000000000Z,454210,1.63244029,9517044202.16175002626697280864,1382703.30140501,53.84442415,600.374406779661,15851848.60429024,179340,176750784.35642528896269608328,60.2900376481363
977,btc,2016-09-04T00:00:00.000000000Z,433383,1.65865731,9679536501.88292281058586901984,1964316.59485315,63.21226972,610.538913325541,15854086.10429024,179857,153127494.78025981277488814993,60.2762652103468
978,btc,2016-09-05T00:00:00.000000000Z,554978,1.64951295,9632847972.86405874113172120954,1536337.00156112,45.35109543,607.526964172998,15855836.10429023,234920,212406070.4710460275357733112,60.3052865574996
979,btc,2016-09-06T00:00:00.000000000Z,507177,1.66267259,9720597611.28267446045623073238,1492441.65865938,42.83861336,612.995458270017,15857536.10429014,227334,226912050.79287087377295612462,60.3127586406687
980,btc,2016-09-07T00:00:00.000000000Z,530571,1.6686166,9764017563.17909098483260540579,1668023.03026636,38.93851769,615.659819111631,15859436.10428909,253235,250754731.87931977206569139981,60.299520405009
981,btc,2016-09-08T00:00:00.000000000Z,499129,1.70667998,10001305153.76621233323337541076,1580232.34446287,41.36583773,630.550172004676,15861236.10428901,225530,241776927.59733029964727119224,60.2988954544334
982,btc,2016-09-09T00:00:00.000000000Z,486523,1.68507108,9882305092.3230054739179043602,1558284.673012,41.0623916,622.977884044418,15863011.1042889,217460,240665599.49763844181519405268,60.298210652255
983,btc,2016-09-10T00:00:00.000000000Z,449720,1.68900378,9911668531.0407777934920650465,1700944.53744267,64.50047802,624.752640444185,15864948.6042889,196056,153668140.6875374306463759755,60.2873602005522
984,btc,2016-09-11T00:00:00.000000000Z,460039,1.64409449,9651049157.89415243516913328946,1799709.0589716,65.14257234,608.246675920514,15866998.60428889,179546,148152718.125318948098431974,60.2964502313588
985,btc,2016-09-12T00:00:00.000000000Z,516128,1.64235516,9643730238.3137380483057807968,1821039.51020144,46.3907944,607.70737270602,15869036.10428784,212412,207880256.4965474628853845738,60.3180681911136
986,btc,2016-09-13T00:00:00.000000000Z,525384,1.64324029,9660647196.72838362179553467396,1852325.13960032,43.80687509,608.694296317943,15871098.60428572,238121,220528106.06545850974605618669,60.319830088725
987,btc,2016-09-14T00:00:00.000000000Z,484948,1.64445893,9673243560.6423345493284658847,1751289.22289484,48.11512151,609.41308766803,15873048.60428549,227706,201043731.3198514570809467999,60.3147656634061
988,btc,2016-09-15T00:00:00.000000000Z,494956,1.63757095,9637224394.64155760579798574078,1728836.7969603,43.14560836,607.070262594974,15874973.60428497,233885,223365129.40983484910125508192,60.2958806569784
989,btc,2016-09-16T00:00:00.000000000Z,490815,1.63843679,9649967224.21134906392343431175,1560443.60245118,51.66496244,607.806438047925,15876711.10428491,216580,186779720.0996169482410294155,60.3136310744675
990,btc,2016-09-17T00:00:00.000000000Z,497085,1.63684292,9644457346.26068725466745981684,1829872.71366577,64.98666292,607.381449678551,15878748.60413484,212263,148406717.81574130330524341004,60.2902705964528
991,btc,2016-09-18T00:00:00.000000000Z,468394,1.64735892,9711494483.7649712683476698661,1627800.88025482,71.93361931,611.533460315605,15880561.10413482,191175,135006337.463182013336170231,60.279072881083
992,btc,2016-09-19T00:00:00.000000000Z,499780,1.63980889,9670230232.92884209809697282358,1493086.32464753,43.38516695,608.871306312098,15882223.60403371,225146,222892543.99183670084546305946,60.2947011069265
993,btc,2016-09-20T00:00:00.000000000Z,526478,1.63608322,9663444447.73910933520979139978,1695158.15805847,42.11589236,608.371748626534,15884111.10403367,241330,229448882.75236165713441620908,60.3007481953936
994,btc,2016-09-21T00:00:00.000000000Z,511634,1.60558003,9483191383.8936635879520475354,1863551.35256759,38.93020987,596.945756633548,15886186.10403355,237941,243594663.80107480347011883828,60.286635403838
995,btc,2016-09-22T00:00:00.000000000Z,494102,1.60186568,9462301606.76385025071806577215,1582896.02838572,41.66116071,595.564716540035,15887948.60403349,229627,227125251.58717678519016161105,60.3130832944857
996,btc,2016-09-23T00:00:00.000000000Z,501479,1.61963842,9571587218.91758743874649150606,1526764.96354935,38.45045516,602.378784921099,15889648.60402794,230152,248933001.69037363210850372058,60.3288422495647
997,btc,2016-09-24T00:00:00.000000000Z,465376,1.62065676,9577740940.48880449874549504743,1863551.35256759,57.75026072,602.687359731151,15891723.60402793,203096,165847579.2348887467755137948,60.3068034762809
998,btc,2016-09-25T00:00:00.000000000Z,474290,1.61373559,9546117896.70788861110425162291,2162558.09313961,66.90451316,600.610054880187,15894036.10402793,196599,142682719.68640413116448070455,60.3223634673351
999,btc,2016-09-26T00:00:00.000000000Z,536915,1.62933517,9645324787.8998039067379938345,1834694.78231133,41.32182465,606.778810637055,15895948.6040279,231682,233419624.3372529530468123755,60.3908298167478
1000,btc,2016-09-27T00:00:00.000000000Z,556798,1.62414841,9620722203.56429652950266753214,2002575.3506274,37.81908665,605.151613734658,15898036.10402783,243713,254388010.27592539696039558698,60.3797903295145
1001,btc,2016-09-28T00:00:00.000000000Z,547404,1.62251024,9614446389.37238203067773654634,1774737.43648416,39.37817805,604.686494389246,15899886.10392779,234090,244156709.76951862645720519292,60.4091044191482
1002,btc,2016-09-29T00:00:00.000000000Z,554360,1.62353046,9623733604.422765907452882102,1714780.09065699,35.3154259,605.202561952075,15901673.60392776,241142,272507929.8735218927018182125,60.4093466445907
1003,btc,2016-09-30T00:00:00.000000000Z,548051,1.63296882,9683066604.83877501905882750476,1702788.62149156,42.15286697,608.865840736412,15903448.60392773,248141,229713120.39666593310520785504,60.4276349050036
1004,btc,2016-10-01T00:00:00.000000000Z,501986,1.64973693,9788324852.83725832228536014486,1882660.65897306,60.77678642,615.408478842782,15905411.10392773,215905,161053675.75475379936617542348,60.4090518975854
1005,btc,2016-10-02T00:00:00.000000000Z,463086,1.63963562,9731190837.24090305347854274302,1690797.15232613,73.39020523,611.748578316774,15907173.60392773,189450,132595225.83614819078425994202,60.4089363987748
1006,btc,2016-10-03T00:00:00.000000000Z,631233,1.64023485,9745737268.44984688007912319048,1810711.84398046,41.59631711,612.590347399182,15909061.10392764,262768,234293272.70688528999740721756,60.4534614305387
1007,btc,2016-10-04T00:00:00.000000000Z,595024,1.63178451,9705857423.93459965572231784524,1894652.1281385,39.26454368,610.007881355932,15911036.10392757,261797,247191397.47109766172341081312,60.4626502307322
1008,btc,2016-10-05T00:00:00.000000000Z,599856,1.63673816,9741183302.0766025310026159125,2002575.3506274,38.36857788,612.147780946815,15913123.6039275,269389,253884398.12158544357328113265,60.4606872595646
1009,btc,2016-10-06T00:00:00.000000000Z,611468,1.63502177,9736257394.0455546544609986033,1930626.5356348,41.37959965,611.76086277031,15915136.10392743,271559,235291241.9558981541414138194,60.4809293501712
1010,btc,2016-10-07T00:00:00.000000000Z,577168,1.65057413,9835157903.19501164113055687812,1714780.09065699,41.40572098,617.905705143191,15916923.60392732,267487,237531376.61958632849848751865,60.4754170307845
1011,btc,2016-10-08T00:00:00.000000000Z,547264,1.65345115,9858675006.1100978795180746553,2109095.85982046,61.97657716,619.301001753361,15919036.1039273,246198,159070982.25222750520504020809,60.5108794876358
1012,btc,2016-10-09T00:00:00.000000000Z,517842,1.6471487,9824887958.6406119257851066972,2056197.68457302,67.27278115,617.101041320865,15921036.10392728,214311,146045514.84434884954028574495,60.5930721294519
1013,btc,2016-10-10T00:00:00.000000000Z,513555,1.64905635,9841514816.56290967614,1593553.20554409,43.4986172,618.0852,15922586.10392695,224750,226248912.034865115552,60.6569867850523
1014,btc,2016-10-11T00:00:00.000000000Z,595746,1.71172286,10239043682.01273262699058992492,1786321.73847281,31.55698014,642.981387258913,15924323.60392684,262242,324462088.42120534566411837712,60.7140505580271
1015,btc,2016-10-12T00:00:00.000000000Z,542168,1.69165254,10138537354.2689853320236616808,1850577.91611572,36.44346022,636.59793220339,15926123.60391672,233717,278199086.82756708230662643,60.7488999196911
1016,btc,2016-10-13T00:00:00.000000000Z,553694,1.68770306,10121177916.06732823227138347568,1644958.14765842,38.51041794,635.444095324372,15927723.60391644,230741,262816620.9779221590453203972,60.7168689655912
1017,btc,2016-10-14T00:00:00.000000000Z,523032,1.69764855,10188237763.53069179005806228369,1747768.03188707,43.6748637,639.586090298071,15929423.60391639,237833,233274632.13481194404726501048,60.7112239550381
1018,btc,2016-10-15T00:00:00.000000000Z,499884,1.6909697,10152694136.80977675212362073726,1824875.44505855,54.34870809,637.283759322034,15931198.60391639,209799,186806540.46344953012440310132,60.7849449860557
